kepid_plnt,fpp_prob,fpp_score,fpp_spec_occrate
8222813.02,0.0041,450.0,0.15
6362874.01,0.0007,2500.0,0.11199999999999999
6272413.01,0.0027,870.0,0.122
8279765.01,0.8,160.0,0.036000000000000004
8330548.01,1.0,11.0,0.001
3348082.01,1.0,240.0,0.207
3348082.02,0.00025,26.0,0.21899999999999997
3348082.03,0.0083,23.0,0.215
3853673.01,1.0,24.0,0.006
3447722.01,9.499999999999999e-05,140.0,0.152
3447722.02,0.00036,44.0,0.214
3447722.03,0.18,4.3,0.17600000000000002
1432214.01,0.96,7.2,0.001
2165002.01,0.00025,140.0,0.184
2165002.02,0.017,140.0,0.204
2441728.01,0.92,22.0,0.129
1871056.01,0.0025,3.0,0.098
1871056.02,0.0006,4.6,0.14
12105051.01,0.0013,2500.0,0.066
8240904.01,1.1e-05,140.0,0.218
8240904.02,3.7e-05,12.0,0.16699999999999998
8374494.01,1.0,85.0,0.013000000000000001
3438507.01,0.13,3.0,0.198
3869014.01,3.2e-05,38.0,0.213
1865042.01,0.0011,260.0,0.105
2438502.01,0.033,4.7,0.051
2309585.01,0.011000000000000001,370.0,0.075
5780460.01,0.00015,3.9,0.065
8229696.01,5e-06,95.0,0.21899999999999997
8262210.01,1.0,0.096,0.124
10272640.01,0.00022999999999999998,460.0,0.07
10232123.01,0.14,800.0,0.057
8415745.01,0.99,67.0,0.001
8378634.01,1.0,0.0027,0.051
8346392.01,0.00079,1500.0,0.14300000000000002
8288947.01,0.00041,950.0,0.165
8312852.01,0.33,2.3,0.111
9480189.01,0.00014,770.0,0.102
9480189.02,2.3e-05,1400.0,0.217
9480189.03,0.0002,220.0,0.08199999999999999
11974540.01,0.00022999999999999998,12.0,0.057
9512687.01,9e-05,1600.0,0.19399999999999998
8644288.01,6.3e-05,380.0,0.07200000000000001
8644288.02,0.00028,240.0,0.051
8644288.03,0.0026,350.0,0.218
5738346.01,1.0,10.0,0.001
1725016.01,8e-06,31.0,0.198
892772.01,0.85,0.32,0.10800000000000001
10166274.01,0.00035,2900.0,0.21100000000000002
10166274.02,0.00054,950.0,0.215
10166274.03,5.6000000000000006e-05,260.0,0.215
8302450.01,1.0,1.4,0.198
8313667.01,1.0,2.1,0.205
8351704.01,0.0026,130.0,0.07400000000000001
8299955.01,1.0,0.15,0.161
9513865.01,3.1e-05,2200.0,0.195
9595686.01,0.095,8.1,0.087
9605514.01,0.11,7.1,0.11699999999999999
9605514.02,0.0032,0.0017,0.09300000000000001
9605514.03,0.34,17.0,0.156
9661877.01,0.99,18.0,0.001
5728283.01,0.72,14.0,0.009000000000000001
8125580.01,7.3e-05,140.0,0.183
8158127.01,0.00027,110.0,0.13699999999999998
8158127.02,1.1e-06,200.0,0.196
8158127.03,0.067,130.0,0.215
10158990.01,1.0,4.9,0.136
10149023.01,1.0,0.6,0.009000000000000001
10141900.01,0.013999999999999999,260.0,0.155
10141900.02,0.26,250.0,0.135
10141900.03,0.0078,2100.0,0.11599999999999999
10141900.04,0.039,28.0,0.151
8410727.01,0.00044,24.0,0.19899999999999998
8410727.02,0.18,7.7,0.158
8278371.01,3.9e-05,3900.0,0.075
8280511.01,4.2999999999999995e-06,23.0,0.122
8280511.02,0.00016999999999999999,220.0,0.09
8280511.03,0.0025,110.0,0.028999999999999998
8280511.04,0.0047,2.9,0.05
8280511.05,0.78,17.0,0.062
9710326.01,6.900000000000001e-06,170.0,0.19899999999999998
9761882.01,3.1e-05,370.0,0.20800000000000002
5297298.01,0.41,14.0,0.015
9766437.01,6.7e-06,600.0,0.156
9772531.01,0.0082,130.0,0.067
9775938.01,4e-05,500.0,0.14300000000000002
9775938.02,0.0015,44.0,0.17800000000000002
8176653.01,0.43,620.0,0.196
8174625.01,2.8000000000000003e-05,300.0,0.21
8183911.01,1.0,13.0,0.001
10157458.01,0.00018,71.0,0.172
4649305.01,0.021,22.0,0.076
10148521.01,0.25,880.0,0.127
10118816.01,0.012,220.0,0.068
10122255.01,2.5e-05,68.0,0.205
3835670.01,6.2e-05,84.0,0.098
10287248.01,0.64,2.9,0.055
10351767.01,0.97,87.0,0.001
10295951.01,0.47,63.0,0.009000000000000001
10514770.01,0.043,160.0,0.053
9787239.01,2.5e-05,1800.0,0.217
9787239.02,0.12,7.8,0.213
9787239.03,7.5e-05,47.0,0.21
9787239.04,0.01,790.0,0.138
9787239.05,1.0,120.0,0.205
2309719.01,0.97,23.0,0.003
2716853.01,0.00044,110.0,0.198
2445154.01,0.98,0.073,0.20199999999999999
2715135.01,0.00016999999999999999,69.0,0.188
3247268.01,6.3e-05,9.4,0.07
3247268.02,0.0002,450.0,0.07200000000000001
3232859.01,0.99,860.0,0.001
10352945.01,2.8e-06,2.2,0.203
10354039.01,0.15,0.73,0.08900000000000001
10330115.01,0.00013000000000000002,210.0,0.196
10426656.01,4.1e-05,390.0,0.20800000000000002
10426656.02,0.00025,7.9,0.217
10426656.03,6.2e-05,1300.0,0.155
9820483.01,2.8000000000000003e-09,2300.0,0.075
9941662.01,0.0061,2700.0,0.054000000000000006
7778437.01,0.0013,140.0,0.055999999999999994
9823457.01,0.00026000000000000003,150.0,0.195
9823457.02,3.2e-05,230.0,0.19699999999999998
2574201.01,1.0,0.24,0.001
2166206.01,1.0,12.0,0.001
2164169.01,0.12,3.0,0.134
2574338.01,0.0081,470.0,0.183
2584163.01,0.012,33.0,0.218
4180280.01,1.4000000000000001e-05,17.0,0.18100000000000002
2721030.01,2e-07,57.0,0.11699999999999999
3329204.01,0.0071,42.0,0.052000000000000005
10528068.01,4.4e-05,13.0,0.174
10468940.01,6.6e-05,3100.0,0.18
10468940.02,0.0034,160.0,0.198
9825625.01,5.5e-06,66.0,0.158
9875711.01,2.8000000000000003e-05,88.0,0.174
7661409.01,1.0,0.2,0.001
1026957.01,0.011000000000000001,210.0,0.20800000000000002
8176650.01,0.051,13.0,0.026000000000000002
5899544.01,0.91,210.0,0.073
5963222.01,0.06,420.0,0.067
5982353.01,0.69,15.0,0.009000000000000001
6205468.01,1.0,9.9e-08,0.052000000000000005
8506766.01,0.94,31.0,0.006
3240706.01,1.0,2.0,0.001
2853093.01,0.0052,2.1,0.052000000000000005
3228824.01,1.0,6.0,0.08900000000000001
3245969.01,0.044000000000000004,9.3,0.17800000000000002
10341831.01,1.0,0.24,0.013000000000000001
10337517.01,0.00065,1000.0,0.20600000000000002
10337517.02,0.0018,110.0,0.040999999999999995
10351231.01,0.015,540.0,0.204
8561063.01,0.00015,16000.0,0.121
8561063.03,0.018000000000000002,5900.0,0.09300000000000001
8892910.01,0.63,110.0,0.044000000000000004
10657664.01,0.14,1300.0,0.064
3337351.01,0.98,1800.0,0.001
5817553.01,1.0,0.78,0.067
5982368.01,0.5,14.0,0.068
5816811.01,1.0,21.0,0.059000000000000004
5816165.01,1.0,460.0,0.01
7102227.01,0.0091,8.3,0.165
7102227.02,0.00074,570.0,0.215
7102227.03,0.064,1200.0,0.067
6960913.01,8.8e-05,72.0,0.217
6837146.01,0.0006799999999999999,350.0,0.196
11122894.02,0.6,4.1,0.052000000000000005
11122894.03,0.62,19.0,0.078
11122894.01,0.9,0.48,0.191
11129738.01,5.6000000000000006e-05,2400.0,0.165
11129738.02,0.27,35.0,0.062
11401182.01,2.9999999999999997e-05,44000.0,0.201
11030711.01,0.052000000000000005,0.3,0.07
11512246.03,1.0,0.077,0.196
11512246.01,0.0033,0.55,0.18
11512246.02,0.00027,200.0,0.215
6607286.01,1.7e-05,27000.0,0.18600000000000003
6607286.02,9e-05,2800.0,0.19399999999999998
6690082.01,0.00014,2200.0,0.155
6690082.02,0.16,1100.0,0.209
6448890.01,0.47,1.4,0.073
6448890.02,1.0,0.21,0.077
10730034.01,2.1e-05,4300.0,0.138
10730034.02,0.00013000000000000002,95.0,0.107
10858691.01,0.00072,960.0,0.132
10858691.02,0.00063,820.0,0.14300000000000002
10858691.03,0.00047999999999999996,660.0,0.14400000000000002
10858691.04,0.00074,7.4,0.179
8107380.01,2.1e-05,490.0,0.188
6936909.01,0.0009400000000000001,630.0,0.198
6936909.02,0.0058,240.0,0.172
6962977.01,0.0008300000000000001,140.0,0.20600000000000002
6962977.02,8.3e-05,370.0,0.21600000000000003
6962977.03,0.0015,230.0,0.20800000000000002
6962977.04,0.00047000000000000004,900.0,0.155
6962977.05,0.004,270.0,0.141
11176127.01,5e-05,270.0,0.218
11176127.02,0.0018,360.0,0.217
