kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,tce_period,tce_prad,tce_model_snr
5272878.01,CONFIRMED,0.0,2.4730000000000003,35.32,8.752,0.871,0.055720000000000006,58.17,1.83,6.36583,2.8139999999999996,67.39
5283542.01,FALSE POSITIVE,0.0,2.205,25.6,4.099,0.0,0.06271,42.55,1.493,5.97581,3.798,48.31
5649215.01,FALSE POSITIVE,0.0,2.015,-149.1,303.3,0.0,0.03197,98.78,-0.02008,2.44674,3.741,65.98
5651104.01,CONFIRMED,0.0,1.909,307.2,77.71,0.0,0.003964,653.4,-4.877,3.04033,9.342,617.8
5792202.01,CONFIRMED,0.9565007145952652,2.627,35.71,14.44,0.0,0.03441,110.0,2.549,31.3305,6.162999999999999,106.5
5792202.02,CONFIRMED,0.9524791309238227,2.251,28.39,12.26,0.0,0.03692,84.1,2.134,15.3353,4.935,79.91
5792202.03,CANDIDATE,0.9549315541585361,1.841,9.495,3.2880000000000003,0.09,0.1055,24.03,1.785,6.54629,2.822,26.81
5792202.04,FALSE POSITIVE,0.9128709291752757,2.905,2.204,1.82,0.069,0.27,12.66,2.21,269.29200000000003,3.6919999999999997,12.33
5370302.01,FALSE POSITIVE,0.0,28.7,503.6,127.5,0.0,0.01028,1224.0,1.976,3.90435,12.31,1098.0
5372966.01,FALSE POSITIVE,0.0,37.68,794.9,179.3,0.0,0.004369,1748.0,3.264,9.28636,17.73,1588.0
5376067.01,FALSE POSITIVE,0.0,1.587,67.66,17.45,0.706,0.02384,110.7,-0.4494,3.9514099999999996,7.891,118.9
5436502.01,CONFIRMED,0.9511897312113706,2.9389999999999996,123.1,21.89,0.032,0.015519999999999999,188.4,2.202,23.6537,8.046,191.2
5436502.02,CONFIRMED,0.9543135154204874,3.7489999999999997,19.85,5.382000000000001,0.055,0.07269,34.32,2.265,13.2335,3.4389999999999996,37.0
5436502.03,CONFIRMED,0.9554386796331944,1.881,15.2,5.1,0.0,0.1261,26.27,1.436,6.15568,2.827,27.62
5436502.04,CONFIRMED,0.9468641529479961,2.283,8.535,2.1919999999999997,0.006999999999999999,0.3017,15.16,1.5859999999999999,50.4474,3.168,15.69
5436502.05,CONFIRMED,0.9547339178707068,1.48,8.741,5.506,0.39399999999999996,0.2103,14.88,0.5069,2.09079,1.7269999999999999,15.69
5456651.01,CONFIRMED,0.9557122091778883,2.975,28.28,5.438,0.008,0.06906,39.56,2.6189999999999998,11.7631,2.832,43.79
5456651.02,CONFIRMED,0.9622504486493791,3.278,12.23,5.746,0.12300000000000001,0.2178,16.48,0.7483,56.2282,2.432,18.0
5481416.01,FALSE POSITIVE,0.0,2.115,-20.82,84.18,0.0,0.0574,44.63,0.1434,2.38406,4.562,50.98
5531576.01,CONFIRMED,0.9561757400843065,2.673,23.47,4.843,0.33399999999999996,0.09087,31.89,2.059,7.953539999999999,2.6860000000000004,35.36
5531576.02,CONFIRMED,0.9557237159498606,2.1519999999999997,12.42,5.202999999999999,0.997,0.1501,18.55,1.205,4.14452,1.829,20.39
5534814.01,FALSE POSITIVE,0.0,3.214,161.4,33.04,0.0,0.013890000000000001,301.0,-0.4752,4.85939,12.07,298.6
6291653.01,CONFIRMED,0.0,2.293,261.1,62.77,0.0,0.006304,488.7,1.464,10.5263,8.515,479.4
6392727.01,CONFIRMED,0.0,0.4497,86.15,29.15,0.012,0.01252,212.1,0.1784,4.58352,5.79,206.7
6422070.01,CONFIRMED,0.0,1.486,19.59,3.675,0.02,0.08838,29.97,1.0170000000000001,3.76188,2.77,33.23
6428700.01,CONFIRMED,0.9547786182905492,2.252,28.02,4.688,0.009000000000000001,0.06621,44.78,1.98,8.20397,3.2089999999999996,48.69
6428700.02,CONFIRMED,0.9548637106322051,2.5989999999999998,13.68,2.467,0.036000000000000004,0.1715,20.86,0.7817,14.4964,3.548,23.0
5794379.01,CONFIRMED,0.9563105743062423,3.0210000000000004,28.44,4.034,0.8320000000000001,0.05677000000000001,42.0,2.448,12.7181,2.659,45.18
5794379.02,CONFIRMED,0.9499679070317267,2.509,23.87,2.7769999999999997,0.622,0.0754,39.55,1.571,36.0659,2.8360000000000003,43.82
5881688.01,CONFIRMED,0.0,2.142,132.3,27.72,0.0,0.008572,245.6,-0.02783,4.19042,6.579,244.9
6022556.01,CONFIRMED,0.0,2.358,52.67,16.13,0.41600000000000004,0.03851,88.43,1.34,3.7098699999999996,4.632,101.8
6032497.01,CONFIRMED,0.0,2.544,36.83,4.876,0.0,0.053520000000000005,63.16,1.85,16.3298,3.741,69.0
6061119.01,CONFIRMED,0.0,2.421,390.2,94.48,0.0,0.00403,739.9,1.7790000000000001,27.8076,13.88,689.8
