# Kepler ID, Theta 1, Theta 2
007951018,0.899,0.795
012206313,0.898,0.798
001996180,0.898,0.789
009466668,0.898,0.794
012116380,0.898,0.765
008685497,0.898,0.822
003217264,0.898,0.777
008260902,0.898,0.785
004770365,0.897,0.794
010080248,0.897,0.771
010910878,0.897,0.810
002854181,0.897,0.794
008613535,0.896,0.780
005202905,0.896,0.811
009277896,0.896,0.806
006605493,0.896,0.790
009269281,0.895,0.800
003545135,0.895,0.802
008884274,0.895,0.748
009334289,0.895,0.798
006191521,0.895,0.796
012208631,0.895,0.787
010586004,0.895,0.797
002716853,0.895,0.805
009471974,0.895,0.794
005175024,0.895,0.789
002837111,0.894,0.792
007017274,0.894,0.808
009347009,0.894,0.827
010797460,0.894,0.776
008753657,0.894,0.789
009597345,0.894,0.798
008962094,0.894,0.810
009427402,0.894,0.813
009530945,0.894,0.798
010329196,0.893,0.787
008738735,0.893,0.780
007685981,0.893,0.771
005084942,0.893,0.823
004276716,0.893,0.738
004135665,0.893,0.797
008689031,0.893,0.777
001432789,0.892,0.787
009347899,0.892,0.794
012306058,0.892,0.769
009719634,0.891,0.813
006442377,0.891,0.796
007907423,0.891,0.803
008280511,0.891,0.771
002975770,0.890,0.757
007939330,0.890,0.794
008689793,0.890,0.829
009893318,0.890,0.794
011392618,0.890,0.786
001872821,0.890,0.780
006849310,0.890,0.743
004739229,0.890,0.804
002718778,0.890,0.808
007672097,0.890,0.767
010656823,0.889,0.821
006026438,0.889,0.788
003962357,0.889,0.791
010525027,0.889,0.791
004815520,0.889,0.823
010203349,0.889,0.811
010577994,0.889,0.738
005563300,0.889,0.821
007673192,0.889,0.762
006508221,0.888,0.814
011701407,0.888,0.789
006422070,0.888,0.686
010854768,0.888,0.788
006422155,0.887,0.822
012058931,0.887,0.807
006786037,0.887,0.768
009268456,0.887,0.772
007870390,0.887,0.770
007907423,0.887,0.825
006020753,0.887,0.810
011074835,0.887,0.770
007517261,0.887,0.802
005792202,0.887,0.819
010253547,0.886,0.803
007366258,0.886,0.830
007212184,0.886,0.787
009851271,0.886,0.811
011189311,0.886,0.804
010399321,0.886,0.814
008183288,0.885,0.795
006962977,0.885,0.776
012066335,0.885,0.807
010656508,0.884,0.797
010006581,0.884,0.820
008120608,0.884,0.774
011714231,0.884,0.786
007376983,0.884,0.794
008247638,0.884,0.783
004548011,0.883,0.767
003218908,0.883,0.812
008167996,0.883,0.747
008176564,0.883,0.828
010426656,0.883,0.785
009758089,0.883,0.750
005770074,0.883,0.795
004275721,0.883,0.801
011176127,0.883,0.796
006300348,0.883,0.803
011709124,0.882,0.785
008678594,0.882,0.780
002449431,0.882,0.795
006719086,0.882,0.797
007808587,0.882,0.804
002305866,0.881,0.782
010593535,0.881,0.780
009017682,0.881,0.773
010004738,0.881,0.748
004633570,0.881,0.771
003940418,0.881,0.814
006106282,0.881,0.783
011807274,0.881,0.829
007802719,0.880,0.785
003554031,0.880,0.760
007690844,0.880,0.808
007040629,0.880,0.786
009472000,0.880,0.790
005561278,0.880,0.796
009873254,0.880,0.797
010154388,0.880,0.816
009214942,0.879,0.790
003098810,0.879,0.816
011074178,0.879,0.692
005709725,0.879,0.775
009390653,0.879,0.691
007907423,0.879,0.758
003234843,0.879,0.783
008692861,0.878,0.769
008230616,0.878,0.759
005794379,0.878,0.819
005374854,0.877,0.791
012266636,0.877,0.788
004945764,0.877,0.756
006021275,0.877,0.827
006021275,0.877,0.830
010601284,0.876,0.796
004770617,0.876,0.812
009009036,0.876,0.766
011754553,0.876,0.805
011455491,0.876,0.820
005269467,0.876,0.769
008826168,0.876,0.674
006751874,0.876,0.788
009583881,0.876,0.796
008456679,0.876,0.822
011922778,0.876,0.770
008492026,0.875,0.776
003745690,0.875,0.827
005965819,0.875,0.771
010488450,0.875,0.819
006616218,0.875,0.797
010074466,0.875,0.805
002849805,0.875,0.818
008352537,0.875,0.797
007447200,0.875,0.797
005088591,0.875,0.813
007626506,0.874,0.797
008890783,0.874,0.796
008164012,0.874,0.830
010875245,0.874,0.817
008105398,0.874,0.773
006776401,0.874,0.802
008561231,0.874,0.766
009757613,0.874,0.800
003733628,0.874,0.750
008037145,0.873,0.761
003832474,0.873,0.672
006063220,0.873,0.796
010990917,0.873,0.787
006677841,0.872,0.772
007810483,0.872,0.800
008257205,0.872,0.768
011622600,0.872,0.786
011032227,0.871,0.763
008591693,0.871,0.768
007832356,0.871,0.796
010844890,0.870,0.764
004932442,0.870,0.783
011875734,0.870,0.759
009650808,0.870,0.796
011760860,0.870,0.819
011288505,0.870,0.780
007778767,0.870,0.777
007515212,0.870,0.796
007960980,0.870,0.770
007585481,0.870,0.796
004349442,0.869,0.782
009101496,0.869,0.771
004139816,0.869,0.777
009011825,0.869,0.793
010601284,0.869,0.764
008142787,0.868,0.785
011288051,0.868,0.763
005177104,0.868,0.800
007124026,0.867,0.788
007377343,0.867,0.797
006850504,0.867,0.766
010264660,0.867,0.797
011974540,0.867,0.797
008191672,0.867,0.797
010666592,0.867,0.797
007778437,0.867,0.797
009391817,0.867,0.777
008611832,0.866,0.765
008415200,0.866,0.783
007047207,0.866,0.764
008611781,0.866,0.810
004282191,0.866,0.778
005080636,0.866,0.726
009950612,0.866,0.822
011651712,0.866,0.797
009532052,0.865,0.778
005301750,0.865,0.809
006690082,0.865,0.823
002441495,0.865,0.830
007458762,0.865,0.824
009549648,0.865,0.826
008081239,0.865,0.770
005511081,0.865,0.781
009466668,0.864,0.774
010965588,0.864,0.783
003097926,0.864,0.791
003097346,0.863,0.829
009782691,0.863,0.768
006278762,0.863,0.806
005211199,0.863,0.785
010676824,0.862,0.793
003642289,0.862,0.788
009663113,0.862,0.796
003245969,0.862,0.788
009837661,0.862,0.781
006196457,0.862,0.796
005774349,0.862,0.753
006462863,0.862,0.796
011803074,0.862,0.782
002713049,0.862,0.804
011824786,0.862,0.768
006685609,0.862,0.749
008355239,0.862,0.767
009996632,0.861,0.784
010963242,0.861,0.798
010330115,0.861,0.819
